DATE,Net_Equity_Issuance,Gross_Equity_Issuance,Equity_Repurchases,Equity_Retirements_MA,CRDQUSAPABIS,CRDQUSBPUBIS,Shadow_Bank_Credit
1986-04-01,,,,,5140.532,2447.95,52.37944243903161
1986-07-01,,,,,5289.395,2496.76,52.79686996338901
1986-10-01,,,,,5467.403,2595.88,52.520785462494715
1987-01-01,,,,,5531.896,2592.8,53.12999376705563
1987-04-01,,,,,5687.674,2660.33,53.22639799679095
1987-07-01,,,,,5818.903,2728.6,53.10799990994867
1987-10-01,,,,,5955.134,2789.7,53.154706510382475
1988-01-01,,,,,6073.339,2844.55,53.16332580809336
1988-04-01,,,,,6243.692,2922.41,53.19419984201655
1988-07-01,,,,,6380.772,2978.97,53.3133294842693
1988-10-01,,,,,6541.111,3043.36,53.47334726470778
1989-01-01,,,,,6653.533,3068.87,53.87608357845374
1989-04-01,,,,,6815.652,3129.8,54.07922822350672
1989-07-01,,,,,6928.31,3168.83,54.26258351603782
1989-10-01,,,,,7065.938,3186.7,54.90053832909375
1990-01-01,,,,,7192.124,3215.42,55.29248383370475
1990-04-01,,,,,7303.613,3207.62,56.08173653231627
1990-07-01,,,,,7384.432,3195.71,56.72368572152875
1990-10-01,,,,,7458.077,3168.43,57.5167968901367
1991-01-01,,,,,7468.526,3123.67,58.17554896374465
1991-04-01,,,,,7538.276,3095.72,58.93331578732326
1991-07-01,,,,,7540.773,3041.35,59.66792794319629
1991-10-01,,,,,7581.419,3022.11,60.137937238398244
1992-01-01,,,,,7615.218,2981.02,60.8544364718121
1992-04-01,,,,,7656.355,2950.4,61.464691749533564
1992-07-01,,,,,7711.512,2939.54,61.88114600612694
1992-10-01,,,,,7773.848,2925.59,62.36625671096219
1993-01-01,,,,,7812.554,2902.98,62.84211283531609
1993-04-01,,,,,7919.946,2931.28,62.988636538683465
1993-07-01,,,,,8028.094,2945.66,63.30810277009712
1993-10-01,,,,,8151.103,2988.21,63.33980812167383
1994-01-01,,,,,8260.279,2993.9,63.75546152859971
1994-04-01,,,,,8399.652,3060.3,63.56634774869244
1994-07-01,,,,,8528.83,3131.53,63.28300599261563
1994-10-01,,,,,8699.19,3212.79,63.06794080828215
1995-01-01,,,,,8807.641,3278.36,62.77822858583812
1995-04-01,,,,,8978.958,3360.97,62.56837374670871
1995-07-01,,,,,9125.043,3416.35,62.560724371381035
1995-10-01,,,,,9279.97,3457.49,62.74244421048775
1996-01-01,,,,,9410.866,3479.2,63.029969824243594
1996-04-01,,,,,9590.932,3546.62,63.02111202540066
1996-07-01,,,,,9739.846,3622.76,62.80475071166423
1996-10-01,-8.88,33.96,22.26,20.58,9877.376,3660.82,62.93732262495627
1997-01-01,-22.52,25.85,22.64,25.74,10009.716,3710.35,62.93251476865077
1997-04-01,-27.2,27.44,23.51,31.12,10206.773,3798.97,62.77991094736799
1997-07-01,-27.99,31.47,25.01,34.46,10437.733,3843.41,63.17773217613441
1997-10-01,-28.98,37.53,34.37,32.14,10642.672,3912.4,63.23855512976441
1998-01-01,-18.23,40.44,26.64,32.02,10867.157,3956.56,63.591581496430024
1998-04-01,-28.94,46.51,29.08,46.36,11192.516,4029.46,63.99862193630101
1998-07-01,-62.18,33.78,41.1,54.86,11437.292,4115.48,64.01700682294376
1998-10-01,-119.46,44.49,27.26,136.7,11726.858,4226.44,63.95931459219511
1999-01-01,-14.05,45.36,31.81,27.6,11996.079,4254.17,64.5369957967099
1999-04-01,-81.66,73.75,30.78,124.63,12265.22,4313.26,64.83340698332357
1999-07-01,-25.03,67.01,29.35,62.68,12616.408,4442.44,64.78839301962968
1999-10-01,11.23,107.36,35.97,60.16,12900.875,4594.06,64.38954722063424
2000-01-01,50.23,136.52,38.08,48.22,13184.822,4722.68,64.18093471417362
2000-04-01,-25.3,111.39,22.85,113.84,13514.042,4884.0,63.859813370418706
2000-07-01,13.7,99.91,24.76,61.45,13782.955,4990.54,63.79194447054351
2000-10-01,-69.3,86.48,30.14,125.64,14015.065,5061.7,63.883863542552255
2001-01-01,13.96,73.36,25.24,34.16,14130.7,5084.98,64.0146631094001
2001-04-01,-4.38,74.48,26.62,52.25,14471.316,5126.99,64.57136310201506
2001-07-01,-21.07,46.1,27.69,39.49,14780.642,5152.63,65.13933562561084
2001-10-01,5.14,61.6,24.03,32.43,14963.76,5201.89,65.23674531000229
2002-01-01,-2.63,43.63,20.94,25.31,15137.544,5173.07,65.82622650015088
2002-04-01,6.29,50.17,27.22,16.66,15366.315,5177.96,66.3031767863668
2002-07-01,-20.32,29.32,27.31,22.33,15614.423,5307.72,66.00758158018391
2002-10-01,1.97,35.55,18.89,14.68,15914.764,5399.99,66.06930520615951
2003-01-01,-10.25,32.03,20.22,22.06,16107.287,5475.72,66.00470333706726
2003-04-01,-3.59,35.94,22.0,17.52,16531.904,5582.92,66.22941918849759
2003-07-01,-0.12,42.27,26.16,16.23,16827.159,5670.08,66.30399700864537
2003-10-01,-2.13,48.58,34.34,16.36,17106.15,5772.65,66.25394960292058
2004-01-01,1.81,53.52,31.58,20.14,17427.098,5855.33,66.40100377010562
2004-04-01,-15.06,46.52,34.03,27.54,17834.911,6027.51,66.20386835684238
2004-07-01,-33.7,41.27,42.37,32.6,18213.249,6173.43,66.10472958449094
2004-10-01,-36.13,49.83,46.58,39.38,18722.489,6369.52,65.97930969541497
2005-01-01,-43.9,47.04,52.99,37.95,19053.396,6491.12,65.93195249812685
2005-04-01,-51.79,55.2,63.2,43.79,19555.889,6712.59,65.6748409647856
2005-07-01,-74.06,68.96,66.61,76.41,20032.131,6923.08,65.44012217172501
2005-10-01,-82.61,62.21,90.76,54.05,20516.356,7050.25,65.6359540651371
2006-01-01,-102.39,66.22,76.32,92.29,21066.104,7210.06,65.77411751123985
2006-04-01,-93.76,91.98,99.09,86.65,21654.759,7404.73,65.80553032245706
2006-07-01,-107.94,59.59,92.02,75.51,22127.75,7563.74,65.81785314819626
2006-10-01,-115.36,105.47,96.35,124.48,22638.445,7703.92,65.96974748044752
2007-01-01,-96.63,95.39,92.43,99.6,23040.77,7751.2,66.35876318369569
2007-04-01,-149.32,88.37,120.99,116.71,23667.942,7935.18,66.4728771094673
2007-07-01,-126.03,105.02,121.59,109.47,24209.672,8174.87,66.23304107548421
2007-10-01,-164.3,155.57,98.39,221.48,24691.754,8382.55,66.05121693663399
2008-01-01,-107.71,60.29,94.68,73.32,25019.452,8524.21,65.92966944279995
2008-04-01,-81.1,51.97,76.16,56.9,25185.003,8558.47,66.01759388315341
2008-07-01,-103.81,54.42,80.94,77.28,25446.401,8608.48,66.17014720470688
2008-10-01,-135.47,34.24,45.75,123.96,25207.749,8655.81,65.66210652129232
2009-01-01,-66.77,29.1,26.47,69.4,25034.338,8509.87,66.00720977722678
2009-04-01,6.39,44.0,17.86,19.75,24918.064,8333.5,66.5563905767318
2009-07-01,-3.24,37.57,24.9,15.92,24706.479,8101.35,67.20961331640984
2009-10-01,-73.11,55.98,33.6,95.49,24496.837,7928.63,67.63406638987719
2010-01-01,-43.04,45.64,40.41,48.27,24354.291,8169.15,66.4570403630309
2010-04-01,-40.85,48.52,59.7,29.68,24225.042,8067.71,66.69681728518779
2010-07-01,-72.53,42.43,57.28,57.68,24202.396,8034.2,66.80411311342893
2010-10-01,-52.49,71.59,62.9,61.18,24132.744,7944.27,67.08095026408932
2011-01-01,-53.62,64.73,66.88,51.47,24119.468,7788.04,67.71056476038359
2011-04-01,-106.89,25.68,73.47,59.1,24141.252,7774.61,67.79533223877536
2011-07-01,-134.63,38.96,96.39,77.21,24212.817,7857.7,67.54735312293485
2011-10-01,-82.91,58.01,74.56,66.36,24297.678,7961.58,67.2331652431973
2012-01-01,-56.85,61.24,64.68,53.41,24325.586,7882.08,67.59757401116669
2012-04-01,-100.11,68.28,84.03,84.37,24413.324,7979.25,67.31600334309249
2012-07-01,-85.19,53.89,65.91,73.17,24600.398,8036.73,67.33089440260275
2012-10-01,-71.19,73.93,86.54,58.58,24771.864,8172.56,67.00869987014299
2013-01-01,-40.65,69.17,77.49,32.32,24798.351,8079.04,67.42105956964637
2013-04-01,-92.53,67.54,100.52,59.54,25005.818,8155.55,67.38539007202245
2013-07-01,-92.28,68.74,96.52,64.5,25246.05,8216.27,67.45522566896604
2013-10-01,-91.88,103.13,105.8,89.21,25547.692,8314.86,67.45357662837019
2014-01-01,-113.09,71.3,126.21,58.18,25734.833,8344.34,67.57569788776169
2014-04-01,-54.75,78.21,100.65,32.31,25987.645,8507.93,67.26163528861503
2014-07-01,-78.24,95.82,108.19,65.87,26171.783,8607.31,67.1122521533974
2014-10-01,-89.85,82.15,106.26,65.74,26475.225,8769.17,66.87782634519631
2015-01-01,-137.19,107.76,113.98,130.97,26681.199,8838.78,66.87262817536799
2015-04-01,-117.39,89.8,101.12,106.08,27099.891,9017.96,66.72326099023793
2015-07-01,-147.37,78.06,122.64,102.79,27387.669,9152.6,66.58131073513412
2015-10-01,-123.7,71.28,107.65,87.34,27540.487,9352.32,66.04155910532738
2016-01-01,-132.78,103.36,124.85,111.3,27836.28,9475.31,65.96057375482644
2016-04-01,-138.04,112.23,99.97,150.3,28122.297,9642.56,65.712046921345
2016-07-01,-118.59,127.36,75.6,170.35,28468.772,9719.51,65.85904723955078
2016-10-01,-88.64,92.9,90.18,91.36,28627.659,9823.49,65.68531852359986
2017-01-01,-101.12,111.31,94.17,118.27,28967.373,9830.87,66.06226598456131
2017-04-01,-70.55,94.52,82.35,82.72,29367.143,9980.57,66.01450130848615
2017-07-01,-125.9,96.32,85.61,136.62,29687.918,10079.01,66.05012854050595
2017-10-01,-77.01,96.3,88.77,84.55,30187.233,10248.95,66.04872662559036
2018-01-01,-116.78,110.89,144.59,83.07,30415.088,10270.79,66.2312665345568
2018-04-01,-227.35,93.47,140.48,180.34,30984.47,10422.37,66.36260036076138
2018-07-01,-62.76,118.77,136.15,45.39,31299.582,10515.06,66.40511045802464
2018-10-01,-214.32,106.6,149.14,171.78,31651.481,10731.69,66.09419319114956
2019-01-01,-155.8,107.27,139.16,123.91,31932.836,10746.57,66.34633391158869
2019-04-01,-17.86,137.96,109.38,46.44,32292.796,10889.42,66.27910447890606
2019-07-01,-100.76,106.52,110.8,96.49,32667.255,10952.73,66.47183854290788
2019-10-01,-85.95,137.37,120.47,102.85,32944.37,11060.07,66.42804218141066
2020-01-01,-88.07,116.49,145.43,59.13,33858.543,11547.83,65.89389567058453
2020-04-01,-6.96,162.55,80.02,89.49,34524.966,11617.14,66.35148025924197
2020-07-01,20.13,149.18,90.39,38.66,34741.024,11433.95,67.08804553371829
2020-10-01,-20.59,191.35,112.05,99.89,35078.256,11320.11,67.72898287759801
2021-01-01,47.66,240.83,130.35,62.82,35521.518,11288.82,68.21977033751767
2021-04-01,-4.05,251.82,143.1,112.77,36501.184,11277.44,69.10390632807966
2021-07-01,-87.72,230.42,156.28,161.86,37020.106,11331.93,69.38979591252385
2021-10-01,-112.17,245.12,196.84,160.45,37789.75,11697.29,69.04639485574792
2022-01-01,-150.14,177.04,222.35,104.84,38500.396,11924.0,69.02888998856011
2022-04-01,-151.56,135.68,192.95,94.3,39161.661,12406.44,68.31993413149662
2022-07-01,-156.76,130.74,179.56,107.93,39631.13,12711.36,67.92581992993891
2022-10-01,-176.09,152.7,180.96,147.82,39978.418,13039.73,67.38307653894658
2023-01-01,-98.02,138.85,173.98,62.88,40258.212,13099.03,67.46246455257378
2023-04-01,-101.87,115.88,144.36,73.39,40466.661,13182.39,67.42407286828038
2023-07-01,-120.55,111.1,158.56,73.1,40677.593,13223.13,67.49284059162498
2023-10-01,-282.89,116.87,181.59,218.17,40901.485,13320.02,67.43389634875115
2024-01-01,-170.88,125.26,187.66,108.48,41167.637,13323.6,67.63574261014787
2024-04-01,-116.62,127.38,184.21,59.79,41498.171,13404.16,67.69939571553648
2024-07-01,-89.84,155.43,172.4,72.88,41842.393,13430.24,67.90279179300286
2024-10-01,-17.8,247.2,184.08,80.92,41754.849,13119.36,68.5800324652114
2025-01-01,-127.83,183.89,221.22,90.49,41955.413,13040.35,68.91855170154088
2025-04-01,-33.36,223.66,180.19,76.83,42258.354,13117.14,68.95965233288547
2025-07-01,-94.94,210.88,176.14,129.68,42687.286,13169.58,69.14870624475869
2025-10-01,-53.05,221.46,195.73,78.78,43143.826,13307.62,69.15521585869551
2026-01-01,25.2,361.45,176.1,160.15,,,
